max_depth,step,accuracy
1,1,0.5932203389830508
1,2,0.5932203389830508
1,3,0.7033898305084746
1,5,0.7033898305084746
1,8,0.7711864406779662
1,13,0.8135593220338984
1,21,0.8305084745762712
1,34,0.8305084745762712
1,55,0.8559322033898306
2,1,0.7033898305084746
2,2,0.7033898305084746
2,3,0.7457627118644068
2,5,0.8559322033898306
2,8,0.8559322033898306
2,13,0.9152542372881356
2,21,0.940677966101695
2,34,0.9491525423728814
2,55,0.9830508474576272
3,1,0.7711864406779662
3,2,0.7711864406779662
3,3,0.8983050847457628
3,5,0.9322033898305084
3,8,0.9576271186440678
3,13,0.9745762711864406
3,21,1.0
3,34,1.0
3,55,1.0
