k,rand_score,silhouette_score
2,0.6810131403542182,0.29872218159747743
3,0.9550561797752809,0.3013496289991044
4,0.8739287754713388,0.25273576418694543
5,0.8518377451913921,0.2021440163860798
6,0.8449819082079604,0.18745415341548521
7,0.807909604519774,0.13720374024657414
8,0.8133054021456231,0.1777148303717489
9,0.8021329270615121,0.15538248227888377
10,0.7511585094902559,0.1118501984164889
11,0.7944518504411858,0.1284862922910956
12,0.7597917856916143,0.14158504833022145
13,0.7423982733447597,0.14328739954923744
14,0.7296387989589285,0.09498303960138321
